Title,Subtitle,Price,Offer,Shipping,Country,Sold
"Dell Latitude Laptop PC 15.6"" FHD Intel Core i5 16GB RAM 256GB SSD Windows 11",Very Good - Refurbished,$259.99,or Best Offer,+$78.04 shipping,from United States,109 sold
"15.6"" Dell Latitude Laptop PC: Intel i5 Quad Core! 32GB RAM! 1TB SSD! Windows 11",No subtitle,$369.95,or Best Offer,+$108.24 shipping,from United States,No sold information
"14"" Dell Gaming Laptop PC: Intel i7 Quad Core! 32GB RAM! 512GB SSD! Windows 11!",No subtitle,$334.95,or Best Offer,+$107.20 shipping,from United States,No sold information
"Lenovo IdeaPad 3i 15.6'' Touch Laptop Intel i5, 8GB, 256GB, 82RK00BEUS Refurbish",Good - Refurbished,$229.99,No best offer,+$83.91 shipping,from United States,No sold information
"Lenovo Yoga 11e 2-in-1 Touch Laptop 11.6"" Pentium Windows 10 4GB RAM 256GB SSD",Very Good - Refurbished,$114.99,or Best Offer,+$80.52 shipping,from United States,846 sold
"2024 HP - 14"" Laptop Computers - Intel Pentium Silver -UP to 64GB RAM, 2TB SSD ",Brand New,$224.63 to $474.23,No best offer,+$85.41 shipping,from United States,33+ sold
Lenovo X1 Carbon Gen 6 14” Laptop PC Core i7 8GB RAM 256GB SSD Windows 11 Pro,Very Good - Refurbished,$309.99,or Best Offer,+$86.27 shipping,from United States,No sold information
~CLEARANCE~ 15.6 Lenovo ThinkPad Laptop: 16GB RAM! 256GB SSD! Windows 10 Pro!,No subtitle,$189.95,or Best Offer,+$82.73 shipping,from United States,No sold information
"Dell Latitude 7400 14"" FHD i7-8665U 16GB 256gb SSD NVME Laptop WIN 11 pro WIFI",No subtitle,$249.99,or Best Offer,+$84.50 shipping,from United States,122 sold
"Microsoft Surface Laptop Studio 14.4"" Touchscreen Intel i5 16GB RAM 256GB SSD",No subtitle,$639.00,No best offer,+$82.50 shipping,from United States,52 sold
"HP X360 G4 2-in-1 Touchscreen Laptop 11.6"" Core i5 8GB RAM 128GB SSD Windows 11",Very Good - Refurbished,$159.99,No best offer,+$81.84 shipping,from United States,451 sold
17.3'' Laptop Intel N5095 RAM-16GB SSD-512GB Win11 FHD Touch Display Notebook PC,Brand New,$284.05,or Best Offer,Free International Shipping,from China,No sold information
"2023 HP 17-cn3053cl 17.3"" IPS FHD Laptop Intel Core i5-1335U 12GB 512GB SSD W11",Certified - Refurbished,$399.00,No best offer,+$109.09 shipping,from United States,583 sold
"Dell Latitude 5410 14"" FHD i7-10610U 32GB 512GB SSD FPReader Cam Windows 10 Pro",Certified - Refurbished,$328.06,No best offer,+$86.80 shipping,from United States,105 sold
"Dell Latitude 15.6"" Laptop PC Computer Core i3 8GB RAM 128GB SSD WiFi Windows 10",Very Good - Refurbished,$139.99,No best offer,+$81.25 shipping,from United States,178 sold
HP 15-fd0629ds 15in Laptop Intel N100 4gb MEM 128gb SSD Win11,Open Box,$199.99,No best offer,+$83.02 shipping,from United States,50 sold
HP 1030 G2 2-in-1 Touchscreen 13.3” Laptop Core i5 8GB RAM 256GB SSD Windows 10,Very Good - Refurbished,$234.99,or Best Offer,+$84.06 shipping,from United States,71 sold
"HP 14-dq0732ds 14"" HD Touch Laptop Pentium Silver N5030 1.1GHz 4GB 128GB SSD W11",Brand New,$185.00,No best offer,+$82.58 shipping,from United States,No sold information
"~OVERSTOCK ITEM~ 15.6"" HP ProBook i5 Laptop PC: 16GB RAM 512GB SSD Windows 11",No subtitle,$269.99,or Best Offer,+$105.29 shipping,from United States,No sold information
"Dell Latitude 5400 14"" FHD Laptop PC Intel Core i7 16GB RAM 512GB SSD Windows 11",Very Good - Refurbished,$299.99,or Best Offer,+$85.97 shipping,from United States,236 sold
"Dynabook PORTEGE X30W-J Intel i5 1135G7 2.40GHz 8GB RAM 256GB SSD 13.3"" Win 11 -",Pre-Owned,$203.05,No best offer,+$33.28 shipping,from Australia,No sold information
Cheap Fast iCore Laptop Dell Latitude Core i3 i5 8GB RAM 128 GB SSD Windows 10,Pre-Owned,$132.13,or Best Offer,+$112.32 shipping,from United Kingdom,No sold information
"15.6"" Lenovo ThinkPad Laptop: Intel i7! 16GB RAM! 512 SSD! Windows 10! DVD-RW!",No subtitle,$239.99,or Best Offer,+$104.40 shipping,from United States,No sold information
15.6 Dell Precision Gaming Laptop: Intel i5! 16GB RAM! 1TB SSD! Backlit Keyboard,No subtitle,$209.95,or Best Offer,+$110.26 shipping,from United States,No sold information
~10th Gen~ FHD 1080p Lenovo ThinkPad Laptop PC: Intel i7QC! 8GB RAM! 512GB SSD!,No subtitle,$279.95,or Best Offer,+$78.63 shipping,from United States,No sold information
"New ListingMicrosoft Surface Pro 4 12.3"" 2.4GHz i5 4GB 128GB SSD Win 11 Pro (Grade B No AC)",Pre-Owned,$73.49,or Best Offer,+$839.88 shipping,from United States,No sold information
"Dell Latitude 7400 14"" FHD i7-8665U 16GB 256gb SSD NVME Laptop WIN 11 pro WIFI",No subtitle,$249.99,or Best Offer,+$84.50 shipping,from United States,122 sold
"Dell Latitude 5400 14"" FHD Laptop PC Intel Core i7 16GB RAM 512GB SSD Windows 11",Very Good - Refurbished,$299.99,or Best Offer,+$85.97 shipping,from United States,236 sold
"Microsoft Surface Laptop Studio 14.4"" Touchscreen Intel i5 16GB RAM 256GB SSD",No subtitle,$639.00,No best offer,+$82.50 shipping,from United States,52 sold
"HP X360 G4 2-in-1 Touchscreen Laptop 11.6"" Core i5 8GB RAM 128GB SSD Windows 11",Very Good - Refurbished,$159.99,No best offer,+$81.84 shipping,from United States,451 sold
17.3'' Laptop Intel N5095 RAM-16GB SSD-512GB Win11 FHD Touch Display Notebook PC,Brand New,$284.05,or Best Offer,Free International Shipping,from China,No sold information
"2023 HP 17-cn3053cl 17.3"" IPS FHD Laptop Intel Core i5-1335U 12GB 512GB SSD W11",Certified - Refurbished,$399.00,No best offer,+$109.09 shipping,from United States,583 sold
"Dell Latitude 5410 14"" FHD i7-10610U 32GB 512GB SSD FPReader Cam Windows 10 Pro",Certified - Refurbished,$328.06,No best offer,+$86.80 shipping,from United States,105 sold
"Dell Latitude 15.6"" Laptop PC Computer Core i3 8GB RAM 128GB SSD WiFi Windows 10",Very Good - Refurbished,$139.99,No best offer,+$81.25 shipping,from United States,178 sold
HP 15-fd0629ds 15in Laptop Intel N100 4gb MEM 128gb SSD Win11,Open Box,$199.99,No best offer,+$83.02 shipping,from United States,50 sold
HP 1030 G2 2-in-1 Touchscreen 13.3” Laptop Core i5 8GB RAM 256GB SSD Windows 10,Very Good - Refurbished,$234.99,or Best Offer,+$84.06 shipping,from United States,71 sold
Lenovo ThinkPad 11e Touchscreen 2-in-1 Laptop PC 4GB RAM 256GB SSD Windows 10,Very Good - Refurbished,$109.99,or Best Offer,+$80.37 shipping,from United States,243 sold
"HP Chromebook 11 G6 11.6"" Intel 2.40 GHz 4 GB RAM 16 GB eMMC Bluetooth Webcam SD",No subtitle,$79.99,No best offer,+$72.73 shipping,from United States,66+ sold
"HP 14-dq0732ds 14"" HD Touch Laptop Pentium Silver N5030 1.1GHz 4GB 128GB SSD W11",Brand New,$185.00,No best offer,+$82.58 shipping,from United States,No sold information
"~OVERSTOCK ITEM~ 15.6"" HP ProBook i5 Laptop PC: 16GB RAM 512GB SSD Windows 11",No subtitle,$269.99,or Best Offer,+$105.29 shipping,from United States,No sold information
Acer Nitro V 15 15.6  FHD 165Hz Gaming Laptop Intel Core i7-13620H 32GB RAM 512G,Brand New,$899.99,No best offer,+$123.87 shipping,from United States,No sold information
